Designator,Mid X,Mid Y,Rotation,Layer
J1,124.206,-118.745,90.0,bottom
Q1,115.00769,-111.309255,270.0,top
R1,120.0912,-103.8098,0.0,top
R10,175.3616,-107.4166,0.0,top
R11,196.469,-104.013,0.0,top
R12,190.881,-107.4166,0.0,top
R13,200.406,-104.013,180.0,top
R14,199.517,-107.442,0.0,top
R2,113.8682,-107.4166,0.0,top
R3,135.4742,-103.759,0.0,top
R4,128.778,-107.4166,0.0,top
R5,151.2664,-103.759,0.0,top
R6,144.7546,-107.4166,0.0,top
R7,165.6334,-104.7242,0.0,top
R8,159.512,-107.4166,0.0,top
R9,181.724904,-103.82439,0.0,top
U1,113.7224,-103.7723,90.0,top
U2,129.219533,-103.7723,90.0,top
U3,144.716666,-103.7723,90.0,top
U4,160.213799,-103.7723,90.0,top
U5,175.710932,-103.7723,90.0,top
U6,191.208065,-103.7723,90.0,top
U7,206.5782,-103.7844,90.0,top
