Designator,Mid X,Mid Y,Rotation,Layer
C1,131.4832,-53.7816,180.0,top
C10,93.8,-92.7625,270.0,top
C11,81.89,-100.56,180.0,top
C12,81.89,-102.76,180.0,top
C13,96.0,-92.7625,270.0,top
C14,129.3,-106.8,90.0,top
C15,97.498,-102.6512,180.0,top
C16,98.098,-100.4412,0.0,top
C17,79.464,-66.126,270.0,top
C18,60.16,-53.1505,270.0,top
C2,131.4832,-51.648,180.0,top
C3,80.9372,-94.0406,180.0,top
C4,80.9372,-91.9406,180.0,top
C5,71.2598,-101.4828,0.0,top
C6,71.2598,-99.4408,0.0,top
C7,71.2598,-105.6988,0.0,top
C8,71.2598,-103.5398,0.0,top
C9,68.9375,-94.4,0.0,top
D1,129.600001,-69.0,180.0,top
D10,132.1,-81.4,0.0,top
D11,136.4,-82.45,90.0,top
D13,77.935,-98.46,0.0,top
D2,129.600001,-66.4483,180.0,top
D3,129.600001,-63.961225,180.0,top
D4,129.600001,-61.47415,180.0,top
D5,129.600001,-58.987075,180.0,top
D6,129.600001,-56.5,180.0,top
D7,78.1432,-107.7988,180.0,top
D8,128.4,-75.0,270.0,top
D9,128.4,-79.0,90.0,top
J1,142.695,-62.12,90.0,top
J3,146.25,-76.62,90.0,top
Q3,86.377789,-79.08,0.0,top
Q4,105.37,-85.4,180.0,top
Q5,112.103421,-86.67,0.0,top
R10,126.747001,-63.961225,180.0,top
R11,126.747001,-61.47415,180.0,top
R12,126.747001,-58.987075,180.0,top
R13,126.747001,-56.5,180.0,top
R14,71.2598,-107.7988,0.0,top
R15,136.9442,-78.4704,0.0,top
R16,136.9,-74.9,0.0,top
R17,109.4106,-80.7564,0.0,top
R18,67.4498,-102.8798,270.0,top
R19,68.9375,-96.4,0.0,top
R2,133.65,-116.6,0.0,top
R20,77.1018,-91.9406,180.0,top
R21,77.1018,-94.0406,0.0,top
R3,81.86,-98.46,180.0,top
R35,77.2,-81.4,180.0,top
R36,77.2,-83.4,180.0,top
R37,85.75,-74.7,180.0,top
R38,81.85,-74.7,180.0,top
R39,67.3736,-115.513,90.0,top
R4,106.5912,-98.9174,270.0,top
R40,133.65,-112.5,0.0,top
R41,92.1386,-79.588,180.0,top
R42,89.621571,-114.517324,90.0,top
R43,89.621571,-118.717324,270.0,top
R44,72.5298,-119.9994,0.0,top
R45,95.821571,-114.517324,90.0,top
R47,95.821571,-118.717324,270.0,top
R5,104.4612,-98.9174,270.0,top
R6,92.721571,-114.517324,90.0,top
R7,92.721571,-118.717324,270.0,top
R8,126.747001,-69.0,180.0,top
R9,126.747001,-66.4483,180.0,top
SW1,74.432,-67.807,0.0,top
SW2,56.144,-59.171,0.0,top
SW3,72.5778,-130.5612,0.0,top
U4,132.4,-105.6,270.0,top
U6,102.04,-93.82,270.0,top
U7,84.4,-85.0,0.0,top
U8,75.505,-114.525,90.0,top
U9,89.4,-101.1,270.0,top
